dataset,model,weights,n_features_model,feature selection,selected_features,common_elements_random_choice,classifier_for_comparison,accuracy,f1,precision,recall,roc_auc
cats_and_dogs,mobilenet_v3_small,finetuned,576,random features,332,178,RandomForestClassifier,0.964545066211021,0.964890016920474,0.962041332770983,0.967755621552821,0.994396375928942
cats_and_dogs,mobilenet_v3_small,finetuned,576,random features,332,196,RandomForestClassifier,0.96369073045707,0.964013547840813,0.961977186311787,0.96605854900297,0.99496827113015
cats_and_dogs,mobilenet_v3_small,finetuned,576,random features,332,197,RandomForestClassifier,0.967535241349851,0.967851099830795,0.964993673555462,0.970725498515062,0.995002303821607
cats_and_dogs,mobilenet_v3_small,finetuned,576,random features,332,188,RandomForestClassifier,0.965399401964972,0.965648854961832,0.965239508266215,0.96605854900297,0.994579495531499
cats_and_dogs,mobilenet_v3_small,finetuned,576,random features,332,199,RandomForestClassifier,0.967321657411363,0.967673779843651,0.963804713804714,0.971574034789987,0.995370641557292
cats_and_dogs,mobilenet_v3_small,finetuned,576,random features,332,184,RandomForestClassifier,0.964117898334045,0.964406779661017,0.963182395260262,0.965634280865507,0.994222289131893
cats_and_dogs,mobilenet_v3_small,finetuned,576,random features,332,184,RandomForestClassifier,0.968389577103802,0.968776371308017,0.963491397398238,0.974119643614765,0.995110058804476
cats_and_dogs,mobilenet_v3_small,finetuned,576,random features,332,191,RandomForestClassifier,0.967108073472875,0.967428087986464,0.964571910586251,0.970301230377599,0.994788618665061
cats_and_dogs,mobilenet_v3_small,finetuned,576,random features,332,186,RandomForestClassifier,0.965185818026484,0.965400127361494,0.966015293118097,0.964785744590581,0.994823107558816
cats_and_dogs,maxvit_t,finetuned,512,all features,,,RandomForestClassifier,0.995728321230244,0.995805369127517,0.994553833263511,0.997060058798824,0.999440923828199
cats_and_dogs,maxvit_t,finetuned,512,brkga features,291,,RandomForestClassifier,0.996155489107219,0.996224832214765,0.994972769166318,0.997480050398992,0.999501978669684
cats_and_dogs,maxvit_t,finetuned,512,random features,291,170,RandomForestClassifier,0.99508756941478,0.995183246073298,0.992481203007519,0.99790004199916,0.999353494025296
cats_and_dogs,maxvit_t,finetuned,512,random features,291,168,RandomForestClassifier,0.996369073045707,0.996436805701111,0.994560669456067,0.998320033599328,0.999629472860347
cats_and_dogs,maxvit_t,finetuned,512,random features,291,171,RandomForestClassifier,0.994873985476292,0.994964330675619,0.994129979035639,0.99580008399832,0.999652197308075
cats_and_dogs,maxvit_t,finetuned,512,random features,291,166,RandomForestClassifier,0.99508756941478,0.995183246073298,0.992481203007519,0.99790004199916,0.999601363904925
cats_and_dogs,maxvit_t,finetuned,512,random features,291,168,RandomForestClassifier,0.994446817599317,0.994553833263511,0.99206017551191,0.997060058798824,0.999646630274696
cats_and_dogs,maxvit_t,finetuned,512,random features,291,170,RandomForestClassifier,0.994873985476292,0.994974874371859,0.992066805845511,0.99790004199916,0.999630750540139
